review,genre,sentiment
Confidently directed  dark  brooding  and packed with impressive action sequences and a complex story,Action,Positive
Nolans have given the character this great manifesto that drives its actions. ,Action,Positive
there is action  explosions and stunt work but between that is masterfully crafted dialogue that dwells deep.,Action,Positive
The acting story atmosphere and actions scenes are all amazing. ,Action,Positive
I recommend it to anyone who likes action movies in general. ,Action,Positive
The  action is great  and the plot is more deeper and engrossing.,Action,Positive
Perfect directing  perfect story  perfect balance between action and drama  everything is perfect.,Action,Positive
By far the best Batman film ever made and of course it will be one of the most memorable action films for a long while.,Action,Positive
Amazing film. Closest thing we will ever get to a perfect superhero movie.,Action,Positive
The perfect balance between superhero action and drama can be found here in The Dark Knight. ,Action,Positive
When you make an action movie you give the required pace in a movie by focusing on elaborating the action scenes but here  the director builds the movie with a mix of action as well as other emotional scenes.,Action,Positive
Step by step movie gives its audience action and emotion at the time when it's required but with an unexpected style.,Action,Positive
The action in Dark Knight is amazing! ,Action,Positive
The dark knight has mixed action  heroism  feeling  literature  colors so well that you feel kind of high when the movie ends.,Action,Positive
some of those vaunted action scenes are a lot of fun to watch,Action,Positive
The perfect Batman film with superb acting from Bale  Ledger  Freeman  and Oldman (and everyone else as well!). The dialogues are memorable  the action is fierce  and the story is encapsulating!,Action,Positive
Is The Dark Knight perfect? No  I cannot lie  but that does not detract from how magnificent a film it remains with enthralling action and heartbreaking drama that makes you think and feel. ,Action,Positive
A much better sequel with engaging action  cool technical effects  interesting narrative choices and compelling characters  with Heath Ledger's Joker stealing the show. The Citizen Kane of superhero movies.,Action,Positive
A great super hero movie and also a great movie in general! The action is top notch and don’t get me started on the acting.,Action,Positive
The plot to the movie was very good and the action scenes were awesome as well.,Action,Positive
Exceptional DC comic action with exceptional performance by heath ledger as the joker  Christian Bale is good also as batman  one of the best superhero films for sure.,Action,Positive
A brilliant and better action sequences and visual effects.,Action,Positive
This is my favourite superhero movie of all time. All of the drama in this movie is amazing. It also delivers breathtaking action sequences. Heath Ledger's Joker stole the show.,Action,Positive
The greatest comic book movie of all time. The story telling is epic. The dialogues are greatly written. The direction is perfect. Action is brilliant.,Action,Positive
Best live action Batman movie? You bet. It's a masterpiece,Action,Positive
One of the best movies I've ever seen! Full of terror and action. Ledger and Bale were amazing! Well done Christopher Nolan...,Action,Positive
the story is ambitious; the action is bombastic; and the performances are top notch.,Action,Positive
the action is great  Hanz Zimmer's music is a pleasure to listen to  and the plot is reasonable.,Action,Positive
The greatest live action performance of the greatest comic book villain headlines the greatest comic book movie ever made.,Action,Positive
I have seen this movie a 100 times... give or take a few. I love it. Heath Ledger as the Joker makes this movie worth watching.  Great story and action.,Action,Positive
It contains some of the best action you will ever see  intense and gritty dialogue that will give chills up your spine  and absolutely other-worldly performances all around.,Action,Positive
My favourite movie of all time. The action is good  the story is amazing  the characters are super interesting. I have watched that movie 52 times.,Action,Positive
The Dark Knight is spectacularly shot and is a visual treat  the acting does not disappoint with excellent performances from Aaron Eckhart  Christian Bale  and of course the one and only Heath Ledger. ,Action,Positive
A brilliant film packed with uncanny and unforgettable characters. Visually armed with well-executed action sequences that were delightful in every way. -Go,Action,Positive
It had every thing  action  stunts  romance and funny jokes. Everything a Batman movie has and will be a classic and will never grow old,Action,Positive
An absolute masterpiece. A near perfect movie with so many amazing performances and action packed moments. Almost every seen is iconic and amazing. I've seen this movie 20 times and I'm still not bored of it.,Action,Positive
Heath Leadger is amazing  Christian Bale is so good. Action is amazing. Christopher Nolan wrote Script so good. Still one of the Best Movies in Last 20 years.,Action,Positive
THE best superhero movie ever made. Maybe even the best action movie ever made.,Action,Positive
Hans Zimmer and James Newton Howard did a great job  it fits perfectly for the action scenes  and the dramatic scenes,Action,Positive
The film looked amazing and the action when their was action was highly entertaining aswell.,Action,Positive
Greatest acting ever done by a Mr Heath Ledger. Now on to the movie where do I start the story was terrific and the action phenomenal.,Action,Positive
the action beginning an hour and fifteen minutes into the film is well worth anyone's time,Action,Positive
possibly the best action film ever!,Action,Positive
It's the greatest superhero movie ever made.Loved the realistic action sequences,Action,Positive
Taking everything that worked from Batman begins and elevating these attributes to eleven  Nolan not only makes the best love action Batman movie of all time but the greatest superhero movie ever.,Action,Positive
ground breaking performances  great characters and backstories  amazing action and gritty realism. its the comics come to life. by far the greatest super hero movie ever made and one of the greatest movies ever made.,Action,Positive
one of the best action movies of all time for good reason,Action,Positive
One of the best films of all time and the best superhero action film of all time.,Action,Positive
One of the best sequels of all time  the dark knight as all to be one of the bests  with great action scenes,Action,Positive
One of the best action movies of all time. It works as a superhero and action movies. Ledger is incredible obviously  but I think Aaron Eckert does a great job as well. Bale is the best Batman ever.,Action,Positive
Heath Ledger as the joker was the best decision ever made. Amazing musical score  great action and excellent performances. Well done Nolan!!!,Action,Positive
The Dark Knight had demonstrate that superhero movie doesn't have to be just a one dimensional act with a repeating 1 2 3 step. It's multi-dimension unpredictable(joker) and Unforgetable. It's so good I don't even think any movie can top it.,Action,Positive
This is one of the best superhero movies of all time  and definitely a top solo movie.,Action,Positive
The movie flows very well and the action is there,Action,Positive
I loved the Dark Knight. Great storyline & action. Heath Ledger was phenomenal as The Joker. Aaron Eckhart was pretty good as Harvey Dent/ Two-Face. Dark Knight is one of the best superhero movies ever made.,Action,Positive
